,Shipment,Must_TSS,Must_pH,Must_TA,Vineyard,Elevation,Growing.Degree.Days,Precipitation.growing,Latitude,Harvest.date,Sub_AVA,Soil_order,Sol_taxonomic_subgroup,Soil_texture,Soil_temperature_class,Year,Diversity,AVA,value,meanval,mean_sep_val,mean_sep_y
14,AV1_2016,22.85,3.7275,4.2825,AV1,479,1631,59.69799805,39.0179608,9/6/16,Mendocino,Alfisols,Ultic Haploxeralfs,fine-loamy,Thermic,2016,Exp. Shannon,Mendocino,1.609049482,3.2351941,a,2.209049482
2,AS1_2016,22.725,3.48,6.095,AS1,127,1454,11.51099992,36.34518808,8/25/16,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2016,Exp. Shannon,Monterey,1.567989407,3.2351941,c,2.167989407
8,AS2_2016,22.525,3.54,5.5125,AS2,180,1680,11.51400018,36.35431348,8/25/16,Arroyo Seco,Mollisols,Typic Argixerolls,fine-loamy,Thermic,2016,Exp. Shannon,Monterey,1.515521158,3.2351941,,2.115521158
80,SRH1_2016,24.175,3.4925,5.56,SRH1,159,1437,18.53800058,34.60883107,9/8/16,Santa Rita Hills,Mollisols,Pachic Ultic Haploxerolls,clayey-skeletal,Thermic,2016,Exp. Shannon,Santa Barbara,3.537942931,3.2351941,abc,4.137942931
62,SMV2_2016,25.275,3.645,4.6375,SMV2,150,1646,18.4920001,34.88541101,9/8/16,Santa Maria Valley,Mollisols,Cumulic Haploxerolls,coarse-loamy,Thermic,2016,Exp. Shannon,Santa Barbara,3.160760903,3.2351941,,3.760760903
56,SMV1_2016,23.625,3.6175,4.7375,SMV1,203,1545,20.75,34.86328801,9/8/16,Santa Maria Valley,Alfisols,Mollic Haploxeralfs,fine-loamy,Thermic,2016,Exp. Shannon,Santa Barbara,2.983429102,3.2351941,,3.583429102
23,CRN1_2016,23.475,3.5475,4.41,CRN1,13,1400,28.49300104,38.22539588,9/6/16,Los Carneros,Vertisols,Chromic Pelloxererts,fine,Thermic,2016,Exp. Shannon,Sonoma,4.917290213,3.2351941,b,5.517290213
68,SNC1_2016,24.4,3.525,4.3875,SNC1,203,1582,60.00999928,38.67871839,9/10/16,Sonoma Coast,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Exp. Shannon,Sonoma,3.952471568,3.2351941,,4.552471568
50,RRV3_2016,24.425,3.4625,5.7725,RRV3,56,1400,54.69600023,38.3440408,9/14/16,Russian River Valley,Ultisols,Fluvaquentic Haploxerolls,fine-loamy,Isomesic,2016,Exp. Shannon,Sonoma,3.871045271,3.2351941,,4.471045271
38,RRV1_2016,25.475,3.4675,4.7625,RRV1,38,1576,52.29400009,38.45112809,9/8/16,Russian River Valley,Ultisols,Typic Haplustults,fine-loamy,Isomesic,2016,Exp. Shannon,Sonoma,3.853369929,3.2351941,,4.453369929
